ID,stage1,stage2,stage3
258,11.22,0.98,28.87
260,11.22,1.72,42.74
263,11.53,2.63,11.24
264,11.53,2.25,-1.62
265,11.53,1.89,-1.22
267,11.53,1.16,28.49
269,11.53,0.42,26.50
270,11.53,0.06,31.59
273,11.83,0.60,31.18
276,11.83,1.70,46.32
277,11.83,2.08,0.45
279,11.83,2.80,12.48
280,12.16,2.62,9.99
283,12.16,1.49,47.53
285,12.17,0.77,35.18
291,12.49,1.34,46.74
293,12.49,2.44,10.38
