fiber_number,Offset
001,122.82811968861158
002,-14.29903246615705
003,248.63297838304058
004,105.84104196193178
006,-51.45390505114514
007,41.59893545155428
008,26.290211072431415
009,1.5461195922678894
010,40.64317374876842
011,-2.9235127166480477
012,15.116511402869916
013,71.56678345768665
014,5.439148187386749
015,50.35391512335525
016,59.13570486495738
017,83.74665355860161
018,32.5623968985579
019,75.50033865786797
020,20.59667823475821
021,38.5888697676942
022,5.609255663318247
023,49.45694148748656
024,64.70718126129142
025,28.110349593016448
026,24.09237107879421
027,2.4179861316386377
028,-7.428033131967452
029,22.713461552843793
030,13.200355674345312
031,38.345307725319444
032,39.45775045390707
033,-18.37577374768924
034,44.77525530862411
035,55.2120904278275
036,89.91674173013278
037,21.320586675248865
038,-0.17735826937734658
039,-12.255924516792192
040,23.662994482037554
041,-0.010586824382845635
042,27.162324943688052
043,-1.0412083120518179
044,49.7046600452791
045,21.704614892892135
046,6.9472304179560656
047,-12.162244027350505
048,15.460860794999508
049,-42.377342347925584
050,57.69651785719255
051,-11.265617371882632
052,-4.251940029533457
053,33.54810809700826
054,8.876388864132474
055,3.491551824441099
057,47.4806058556454
058,29.405041156321087
059,51.07975899616244
060,42.146541893185315
061,75.09456889507453
062,22.62769110729988
063,24.374984242830987
064,-1.3469411468941388
065,-11.814495477902646
066,74.1159849858524
067,27.588445634268712
068,62.63594056256018
069,29.522139746995723
070,81.86708421609069
071,-11.773958744424618
072,30.734774948530077
073,36.99871359658495
074,55.254550428901304
075,23.888932855447447
076,47.94461129895541
077,79.76157114109688
078,55.666856344512425
079,38.04063454279589
080,60.91740916777808
082,23.158510709499463
083,11.656895341311063
084,35.77803235888701
085,16.57720406719475
086,-22.054343322884815
087,11.880846428734632
088,26.72251888912126
089,5.079267271026378
090,28.22612131405734
091,17.907620163074924
092,56.574641540145585
093,46.1548365988017
094,45.698732049627324
095,-6.3224821918073575
096,-3.0566343359138433
097,45.001461803679604
098,-18.4132817580658
101,-4.5080212937358874
102,23.912439519736065
103,-0.7699764369579533
104,-22.32917506235123
105,-6.464235960679013
106,-25.685821273435348
107,-1.6055100011355559
108,20.201944936625356
109,60.3141084775958
110,-13.68819498277041
111,50.52798279601841
112,9.499876024941369
113,58.33667981784529
114,23.701507769563598
115,22.306694505619877
116,22.788508657110558
117,36.11948748987476
118,73.25088207505185
121,40.658084630312274
122,52.39423378742532
123,31.851289388565014
124,20.14875377037227
125,39.043556792569575
126,31.22189051376827
127,32.82293770760544
128,28.02756346668419
129,13.63767486666413
130,23.261389847681546
131,59.2188124363239
132,44.40388116832284
133,31.27695410664364
134,32.246475207801716
135,53.6197104071812
136,48.501258194482226
137,24.620615967246547
139,34.026983542480366
140,25.169190052646538
141,47.40953037554772
142,66.52455271359302
143,63.773029921904374
144,36.63417985991444
145,45.01812850953133
146,29.278056752900742
147,55.20872949251382
148,29.58167872129496
149,39.760623532669534
150,54.50739207696943
151,25.497291394945275
152,34.362808235709736
153,51.17404513438342
154,40.84728895782716
155,25.671731827873096
156,13.245579746166163
157,39.179183839318696
158,17.314178651488536
159,-3.606415636290938
160,64.11194498234563
161,36.34686153928576
162,51.54921555882719
163,50.33284911671838
164,69.34898410138119
165,8.14766393635559
166,60.571478282110846
167,51.97151625146049
168,41.43908484675758
169,-9.045477917606277
170,44.32422831314288
171,32.433149393439194
172,24.660086326880794
173,22.322381757637647
174,37.11540539720825
175,36.93976161655944
176,36.617121283515566
177,70.61989176265872
178,36.402568658011
179,42.61953872028648
180,33.24652566618625
181,40.22346572220864
182,52.94682988125271
183,34.81314360776799
184,59.54107431302048
185,9.428728256094754
186,0.7908696961218737
187,61.53540214674122
188,65.1691241055187
189,26.002979555542463
190,9.622878755036083
191,25.80357871863629
192,51.37856623938986
193,68.22639872286179
194,69.96776456974506
195,69.71830236248329
196,33.73636822090141
197,17.230707905995946
198,46.71748629366357
199,1.2357379256971446
200,60.714291420857045
201,95.76981571902736
202,44.37365837422161
203,27.142727059580203
204,69.21795802700822
205,20.737203208122995
206,9.088764227836409
207,21.450083469880482
208,55.689889071702275
209,81.69547029887511
210,-4.623305369927926
211,65.91048854614989
212,6.349976486174026
213,25.062656246402366
214,65.65448736026839
215,63.64983188565519
216,38.082533179261006
217,43.31564205677555
218,51.878583252895496
221,26.586933752175444
223,-10.50842659772101
225,45.061448359945466
226,55.881208113557754
227,23.72367462067691
230,12.98811473575652
231,9.239545333331328
232,30.571035237961148
233,7.2761176970822445
236,38.76412329506818
239,23.7119911589028
244,70.10835675306978
245,23.955984959475245
246,30.963596656599687
249,56.62575262256937
252,89.33194861589492
256,37.07422552247627
258,56.61330835633786
260,7.723333694864982
263,49.01458259028584
264,99.37950135446846
265,88.59349307122373
267,57.461034804823875
269,74.00175507232544
270,7.839061930964636
273,8.983609687082128
276,26.859201117908174
277,65.30985175719523
279,50.692495466913584
280,64.58935048031036
283,33.95697740118043
285,25.01427353200119
291,41.80410736659181
293,44.31236040934052
