fiber_number, frd_throughput, flux_throughput, reference_flux_ratio, flux_throughput_corrected, total_throughput
001,0.6329435656347138,0.7731791190565999,1.0,0.7731791190565999,0.4893787484899912
002,0.650318151232143,0.7780650285350096,0.9970426786507778,0.7803728418004192,0.5074906237514222
003,0.6199814059584037,0.791542400727253,0.9985464113760084,0.7926946526566537,0.49145594524978065
004,0.645806334193707,0.789492189049597,0.9940953953524793,0.7941815169254098,0.5128874541299964
006,0.5608799176303989,0.7821108600639044,0.9856658439340198,0.7934847949507102,0.4450496864329283
007,0.5856792536452287,0.773667755112369,0.9820305706072385,0.7878245120556395,0.46141247222416343
008,0.636526198967534,0.7982598297769722,0.9837361094022777,0.8114572822400494,0.5165138194887842
009,0.700318756435296,0.7907870525270665,0.9888869984120784,0.799673829059221,0.5600265815206051
010,0.7104552592213154,0.7471715772458501,0.9344274246244999,0.7996036477055469,0.5680826168049536
011,0.5856970263430945,0.6762825784809836,0.875388006436595,0.7725517981836404,0.45248129089216865
012,0.6589427932965899,0.6858317290913111,0.8628366987020194,0.7948569296171801,0.5237652454730957
013,0.627073302104303,0.7201800587825096,0.894715118981836,0.8049266671631267,0.504748023129793
014,0.5920061500565874,0.71348076283874,0.899362900019099,0.7933179841236373,0.4696491255516875
015,0.651225883697178,0.7136212042663655,0.8994356088232804,0.7934099976317222,0.5166891268418942
016,0.5767257896062231,0.7042168654830523,0.9019957218348741,0.7807319352363529,0.45026824181998026
017,0.6540251102247049,0.7018712705214293,0.8943790286980917,0.7847581931154093,0.5132515637520458
018,0.7211271207781238,0.7427283359913393,0.9318736174457859,0.797026895156788,0.574757710087142
019,0.6768157527705164,0.719860879513526,0.919442052613758,0.7829322984163389,0.529900912921005
020,0.6923113352549708,0.7217341746185024,0.9081654799778377,0.7947165913376438,0.5501913044982432
021,0.7052012897720544,0.7202127630317707,0.9056729628925039,0.7952238749974192,0.560792902305711
022,0.7103430675072949,0.71895724502758,0.9068757028025621,0.7927847695177536,0.5631491650523048
023,0.6266392424206524,0.7056442515120686,0.9046420586072648,0.7800259172102147,0.4887948498290835
024,0.6785230244467356,0.7142109392234348,0.8929837912304669,0.7998028029593952,0.5426846168249854
025,0.6925298901085264,0.7174806192757534,0.8920814526455176,0.8042770277848781,0.5569858816686738
026,0.6396315760900969,0.6899267596586588,0.8916751810331588,0.7737422486731773,0.4949099740063201
027,0.6596690441552752,0.6869099540538198,0.8877180292730852,0.7737929515933132,0.51044725675165
028,0.6482465893330329,0.7008895097564195,0.8894345322696232,0.7880169751987455,0.5108293165091199
029,0.6479566868732954,0.658019931708557,0.8502816497552463,0.7738846673898797,0.5014437451039887
030,0.6596132533518769,0.6523536693082255,0.8438982063260507,0.7730241211772174,0.5098969554891799
031,0.6555381760309932,0.6643880969584154,0.8413578563559849,0.7896617259104879,0.5176534074848473
032,0.7056584358553422,0.6809279315135276,0.8623723625553261,0.7895985088110267,0.5571868486812996
033,0.6978495367341305,0.6876191201756212,0.8681829095623239,0.792021027599207,0.5527115071937966
034,0.6587861995153803,0.6323458763134417,0.8088805364826643,0.7817543478832291,0.515008975796617
035,0.6846141902506687,0.6456938292791384,0.8170604385608705,0.7902644636869597,0.541026265890927
036,0.6949163661245431,0.6544656196523104,0.8365778314589015,0.7823128883429686,0.5436420295396912
037,0.685194631091352,0.6721555364488078,0.8448293576065559,0.7956110075921821,0.5451483908393441
038,0.6151425024980437,0.6693580794341153,0.857012312668074,0.7810367127051554,0.4804488779962949
039,0.6201069127466907,0.6803022061100573,0.8446794336501592,0.8053969103642437,0.49943219162169433
040,0.5914020071596809,0.6201456313442983,0.7740134256149513,0.8012078483672225,0.47383592967646465
041,0.6946595321323734,0.6127709314029048,0.7634096446439883,0.8026764342080942,0.5575868362406765
042,0.7020279492800671,0.5875919887282584,0.7397208620930383,0.7943428647742451,0.5576508923827169
043,0.6880210489084392,0.5870051620180186,0.733708210472065,0.8000526008020841,0.5504530295857747
044,0.6164532552650197,0.5857511137636309,0.7419764290001135,0.7894470644478401,0.48665721273828483
045,0.6851213251182084,0.5649483386641514,0.7631778039900714,0.7402578215855726,0.5071664196538258
046,0.6394192027412633,0.6283873090625035,0.7899602731883826,0.7954669752268053,0.5086368591065281
047,0.6361892939230209,0.6291077042210738,0.7812375696890641,0.8052706739020006,0.5123045814466289
048,0.7193812774831724,0.5968772587787368,0.7603754821537793,0.7849769920093551,0.5646977513065878
049,0.7248678098253273,0.5873289800600487,0.757846044823934,0.7749977506269093,0.5617709221164829
050,0.7338022076186851,0.6154308097340841,0.761419022769474,0.8082682351376069,0.5931090152920344
051,0.7064005189949749,0.6174307842883633,0.7656636522701635,0.8063994972958486,0.5696410234070743
052,0.6551728954732234,0.5912459234476839,0.7626322247819334,0.7752700505368029,0.5079359237838694
053,0.6956234786116794,0.5956765613203572,0.7609376709367339,0.7828191244455855,0.5445473624705873
054,0.801290915192053,0.31687222316666086,0.8040210589520058,0.39410935775697864,0.3157962479628416
055,0.6929958511061083,0.6346567764812879,0.8048177387520838,0.7885720529288529,0.5464771609779215
057,0.6862640348054403,0.6180651248520204,0.7795055276715254,0.7928938319376048,0.5441345202778474
058,0.7041679332531605,0.6446245699004407,0.8008551555580609,0.8049202972930182,0.5667990621783442
